name,rating,comment,createdAt,_id,product_id,user_id,is_positive
jht294,1,"커트러리 2세트가 필요해서 원래먹는 카누세트는 없어서 필요없는 디카페인 2세트나 시켰습니다!!옵션에서 선택해서 시켰고 원래 텀블러 많아서 사은품 없는걸로 시키는데, 커트러리 사은품 받고자 가격 더 주고 구매했습니다. 근데 아무 연락없이 텀블러로 왔네요;; 그럴꺼면 처음부터 옵션선택이 아닌 랜덤 옵션을 선택하게 했어야지 이건 소비자 기만이라 생각되는군요;; 같이 시킨 텀블러까지 졸지에 같은 텀블러가 3개나 더 생겼어요.....Q&A에서 커트러리 시킨분들의 문의에서 반품도 교환도 안된다고 배째라하다가 11번가 고객센타에 얘기하고나니 아무런 얘기도 없이 일방적으로 반품 처리되어 택배사에서 연락받았네요;;; 그게 더 화나서 리뷰 작성 하고자 반품 취소 시켰습니다!!! 매번 태풍몰에서 몇박스씩 구매하는데 저번에 유통기한 하루 남은 믹스커피 사은품 이후로 기분이가 상당하게 나쁘네요!!!!!홈플러스에서 커트러리상품 있길래 두개 다시 구매했네요~!!",,1,2,1,0
lkq1241,1,뭐죠?120개+랜덤사은품 2세트구매했는데130개짜리 두개 달랑 온건 뭔가요?그것도 따로 10개짜리 상자로 온것도 아니구130개짜리를 그냥 턱이거 예상못한 전개인데요,,2,2,2,0
rwf244,1,포장이 겉박스도 없고고 너무 무성의사네요 머 제품은 이상 없겠지만 사소한 부분도 챙길줄 아는 판매자 원합니다 별 하나도 아까워라,,3,2,3,0
rgw512,1,그냥 120개라고하면될껄사은품이라고 적어놓은이유는 뭘까?,,4,2,4,0
kkg1570,1,잘 받았습니다.이 판매자분은 구성을 참 희안하게 해놓고 판매하시네요.,,5,2,5,0
jht294,1,왜 맛이다른지 모르겠네요맨날 카누 마일드 미니만 먹는데맛도 싱겁고 향도 맨날 먹던거랑 확실히 다르고이전에 산건 150티고 이번에껀 100+30티인거만 다른데,,6,2,1,0
lkq1241,1,70개씩 140개를 샀는데 22.8월껄 보내면 어떻게합니까 정말 !!주말만 먹는데 어쩝니까 포장도 다뜯었는데 !!,,7,2,2,0
rwf244,1,배송도 많이 느리고 연락없이 사은품도 지정하지 않은게 왔어요.앞으로는 이곳에서 구매 의사 없어요.,,8,2,3,0
rgw512,1,배송도 느리고..지정하지 않는 사은품 받아 별로입니다.무엇보다 배송이 너무 느려요..,,9,2,4,0
kkg1570,1,배송이 어어어어어엄청 느립니다.... 송장은 찍혀잇는데 배송이 안옴,,10,2,5,0
jht295,1,"사은품 랜덤이란 몇 가지 중 무엇이 당첨될 줄 모르는 것이지 무슨 잣대로 그게 뭐라고 판매자 마음대로 주는 게 아니라고 저는 생각합니다.상품 설명은 애매모호하게 해놔 놓고 랜덤이라는 단어로 소비자를 우습게 아는 판매처에 놀아나기 싫어 같은 가격에 구매했으니 저도 130T 꼭 받고 싶다고 했더니 안 된다네요.처음엔 취소가 안 된다더니 갑자기 취소해 주겠다고...늦어도 괜찮으니 천천히 받겠다고 했더니 배송 집하한 상태에서 움직임없이 계속 머무르기만 하더니 갑자기 오늘 21일만에 받았어요.살다살다 판매자가 소비자를 이렇게 갈굼해도 되는지 정말 어이가 없네요.하도 속이 상해 저와 동일한 제품과 일짜에 리뷰글을 찾아보니 12분의 리뷰글이 있네요.11분이 130T 유통기한 2023.04.05 까지1분은 120T 유통기한 2022.12.13 까지120T 받은 분 리뷰글.""사은품 랜덤인데 유통기한도 랜덤인가봐요""상품 설명 글 자세히 보기 리뷰글에서 130T 받았다는 내용이 있어 그렇게 했는데 그 글을 판매자가 마음대로 지워도 되는지 모르겠네요.항의전화 하고 나니 랜덤이란 단어 빼고 정확하게 사은품 20T라고 상품 설명에는 기재되어 있더라고요.그거는 수정할 수 있는데 왜 커피는 기분 나빠 빨리 주기 싫던가요.완전 최악의 판매업체라고 생각합니다",,11,2,1,0
lkq1242,1,유통기한이 올해 12월13일입니다. 너무 짧습니다!!다른분들은 카피 추가로 왔다는데 저는 작은 머그컵으로 왔네요. 너무 작아서 별쓸모도 없네요. 문의글보면 저희보다 뒤에 주문한분도 카피 추가 증정으로 왔는데 말이죠.. 게다가 유통기한도 올해 12월로 매우 촉박하네요;; 200개를 7개월내로 마셔야하게 생겼네요. 재고떨이 제품을 받은셈이네요,,12,2,2,0
